"hanzi","pinyin","bucket","hsk","freq","correct","incorrect","total","accuracy"
"躺","tǎng","Archive","4","1608","0","0","0",""
"钢","gāng","Archive","4","1609","0","0","0",""
"寄","jì","Archive","4","1611","0","0","0",""
"汤","tāng","Archive","4","1618","0","0","0",""
"肥","féi","Archive","4","1620","0","0","0",""
"尝","cháng","Archive","4","1621","0","0","0",""
"厌","yàn","Archive","4","1633","0","0","0",""
"脏","zàng","Archive","4","1634","0","0","0",""
"幽","yōu","Archive","4","1636","0","0","0",""
"丢","diū","Archive","4","1639","0","0","0",""
"泉","quán","Archive","4","1641","0","0","0",""
"祝","zhù","Archive","4","1651","0","0","0",""
"陪","péi","Archive","4","1664","0","0","0",""
"贺","hè","Archive","4","1690","0","0","0",""
"琴","qín","Archive","4","1701","0","0","0",""
"恼","nǎo","Archive","4","1704","0","0","0",""
"敲","qiāo","Archive","4","1732","0","0","0",""
"暖","nuǎn","Archive","4","1745","0","0","0",""
"糖","táng","Archive","4","1746","0","0","0",""
"擦","cā","Archive","4","1761","0","0","0",""
"肤","fū","Archive","4","1790","0","0","0",""
"肚","dù","Archive","4","1800","0","0","0",""
"赢","yíng","Archive","4","1836","0","0","0",""
"址","zhǐ","Archive","4","1848","0","0","0",""
"悔","huǐ","Archive","4","1853","0","0","0",""
"邀","yāo","Archive","4","1854","0","0","0",""
"羽","yǔ","Archive","4","1865","0","0","0",""
"盐","yán","Archive","4","1885","0","0","0",""
"傅","fù","Archive","4","1887","0","0","0",""
"帅","shuài","Archive","4","1888","0","0","0",""
"扔","rēng","Archive","4","1905","0","0","0",""
"傲","ào","Archive","4","1960","0","0","0",""
"拾","shí","Archive","4","1961","0","0","0",""
"填","tián","Archive","4","1970","0","0","0",""
"扮","bàn","Archive","4","1974","0","0","0",""
"愉","yú","Archive","4","1982","0","0","0",""
"慕","mù","Archive","4","1990","0","0","0",""
"秒","miǎo","Archive","4","2028","0","0","0",""
"塑","sù","Archive","4","2038","0","0","0",""
"羞","xiū","Archive","4","2048","0","0","0",""
"盒","hé","Archive","4","2067","0","0","0",""
"棵","kē","Archive","4","2108","0","0","0",""
"谅","liàng","Archive","4","2120","0","0","0",""
"葡","pú","Archive","4","2130","0","0","0",""
"厨","chú","Archive","4","2132","0","0","0",""
"鸭","yā","Archive","4","2133","0","0","0",""
"谊","yì","Archive","4","2136","0","0","0",""
"歉","qiàn","Archive","4","2149","0","0","0",""
"赚","zhuàn","Archive","4","2182","0","0","0",""
"萄","táo","Archive","4","2210","0","0","0",""
"脾","pí","Archive","4","2223","0","0","0",""
"懒","lǎn","Archive","4","2230","0","0","0",""
"骄","jiāo","Archive","4","2248","0","0","0",""
"聘","pìn","Archive","4","2253","0","0","0",""
"巾","jīn","Archive","4","2281","0","0","0",""
"堵","dǔ","Archive","4","2284","0","0","0",""
"棒","bàng","Archive","4","2288","0","0","0",""
"硕","shuò","Archive","4","2304","0","0","0",""
"戚","qī","Archive","4","2316","0","0","0",""
"笨","bèn","Archive","4","2323","0","0","0",""
"泼","pō","Archive","4","2327","0","0","0",""
"郊","jiāo","Archive","4","2351","0","0","0",""
"饼","bǐng","Archive","4","2359","0","0","0",""
"咳","hāi","Archive","4","2373","0","0","0",""
"桶","tǒng","Archive","4","2411","0","0","0",""
"辣","là","Archive","4","2420","0","0","0",""
"膊","bó","Archive","4","2440","0","0","0",""
"趟","tàng","Archive","4","2457","0","0","0",""
"匙","shi","Archive","4","2476","0","0","0",""
"钥","yào","Archive","4","2481","0","0","0",""
"胳","gē","Archive","4","2490","0","0","0",""
"咸","xián","Archive","4","2525","0","0","0",""
"汁","zhī","Archive","4","2540","0","0","0",""
"垃","lā","Archive","4","2628","0","0","0",""
"烤","kǎo","Archive","4","2629","0","0","0",""
"圾","jī","Archive","4","2634","0","0","0",""
"逛","guàng","Archive","4","2642","0","0","0",""
"膏","gāo","Archive","4","2673","0","0","0",""
"羡","xiàn","Archive","4","2732","0","0","0",""
"暑","shǔ","Archive","4","2743","0","0","0",""
"嗽","sòu","Archive","4","2815","0","0","0",""
"橡","xiàng","Archive","4","2871","0","0","0",""
"厕","cè","Archive","4","2920","0","0","0",""
"袜","wà","Archive","4","3045","0","0","0",""
"勺","sháo","Archive","4","3275","0","0","0",""
"柿","shì","Archive","4","3355","0","0","0",""
"乒","pīng","Archive","4","3447","0","0","0",""
"乓","pāng","Archive","4","3502","0","0","0",""
"饺","jiǎo","Archive","4","3650","0","0","0",""
"军","jūn","Daily","5","102","0","0","0",""
"战","zhàn","Daily","5","145","0","0","0",""
"政","zhèng","Archive","5","150","0","0","0",""
"产","chǎn","Archive","5","159","0","0","0",""
"制","zhì","Archive","5","163","0","0","0",""
"代","dài","Archive","5","174","0","0","0",""
"立","lì","Archive","5","197","0","0","0",""
"义","yì","Archive","5","208","0","0","0",""
"神","shén","Archive","5","227","0","0","0",""
"德","dé","Archive","5","256","0","0","0",""
"统","tǒng","Archive","5","264","0","0","0",""
"形","xíng","Archive","5","269","0","0","0",""
"治","zhì","Archive","5","274","0","0","0",""
"达","dá","Archive","5","289","0","0","0",""
"强","qiáng","Archive","5","292","0","0","0",""
"权","quán","Archive","5","297","0","0","0",""
"王","wáng","Archive","5","299","0","0","0",""
"设","shè","Archive","5","302","0","0","0",""
"品","pǐn","Archive","5","308","0","0","0",""
"类","lèi","Archive","5","311","0","0","0",""
"领","lǐng","Archive","5","329","0","0","0",""
"造","zào","Archive","5","354","0","0","0",""
"组","zǔ","Archive","5","358","0","0","0",""
"英","yīng","Archive","5","371","0","0","0",""
"令","lìng","Archive","5","378","0","0","0",""
"布","bù","Archive","5","380","0","0","0",""
"未","wèi","Archive","5","385","0","0","0",""
"击","jī","Archive","5","395","0","0","0",""
"兵","bīng","Archive","5","398","0","0","0",""
"团","tuán","Archive","5","405","0","0","0",""
"集","jí","Archive","5","406","0","0","0",""
"华","huá","Archive","5","412","0","0","0",""
"石","shí","Archive","5","414","0","0","0",""
"府","fǔ","Archive","5","417","0","0","0",""
"似","shì","Archive","5","431","0","0","0",""
"官","guān","Archive","5","432","0","0","0",""
"器","qì","Archive","5","441","0","0","0",""
"称","chēng","Archive","5","449","0","0","0",""
"企","qǐ","Archive","5","450","0","0","0",""
"委","wěi","Archive","5","457","0","0","0",""
"曾","céng","Archive","5","463","0","0","0",""
"农","nóng","Archive","5","465","0","0","0",""
"装","zhuāng","Archive","5","467","0","0","0",""
"显","xiǎn","Archive","5","469","0","0","0",""
"念","niàn","Archive","5","477","0","0","0",""
"青","qīng","Archive","5","497","0","0","0",""
"武","wǔ","Archive","5","501","0","0","0",""
"势","shì","Archive","5","506","0","0","0",""
"古","gǔ","Archive","5","509","0","0","0",""
"构","gòu","Archive","5","511","0","0","0",""
"土","tǔ","Archive","5","515","0","0","0",""
"投","tóu","Archive","5","516","0","0","0",""
"某","mǒu","Archive","5","517","0","0","0",""
"维","wéi","Archive","5","520","0","0","0",""
"革","gé","Archive","5","521","0","0","0",""
"敌","dí","Archive","5","523","0","0","0",""
"致","zhì","Archive","5","524","0","0","0",""
"派","pài","Archive","5","532","0","0","0",""
"营","yíng","Archive","5","536","0","0","0",""
"巴","bā","Archive","5","546","0","0","0",""
"防","fáng","Archive","5","548","0","0","0",""
"施","shī","Archive","5","553","0","0","0",""
"型","xíng","Archive","5","556","0","0","0",""
"依","yī","Archive","5","568","0","0","0",""
"群","qún","Archive","5","570","0","0","0",""
"项","xiàng","Archive","5","571","0","0","0",""
"织","zhī","Archive","5","578","0","0","0",""
"斗","dòu","Archive","5","580","0","0","0",""
"采","cǎi","Archive","5","585","0","0","0",""
"杀","shā","Archive","5","587","0","0","0",""
"朝","cháo","Archive","5","593","0","0","0",""
"属","shǔ","Archive","5","610","0","0","0",""
"限","xiàn","Archive","5","613","0","0","0",""
"威","wēi","Archive","5","622","0","0","0",""
"状","zhuàng","Archive","5","624","0","0","0",""
"率","lǜ","Archive","5","625","0","0","0",""
"独","dú","Archive","5","627","0","0","0",""
"创","chuàng","Archive","5","635","0","0","0",""
